Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date,Undetermined
S0780,Mouse38,KO,Thymus,Il2,27.19,3,2026-04-18,False
S0871,Mouse42,KO,Thymus,Cd4,20.64,1,2026-04-12,False
S_858,Mouse41,KO,Spleen,Tnfa,23.71,3,2026-03-27,False
s1006,Mouse48,WT,Lymph Node,Gapdh,17.93,1,2026-04-05,False
S1471,Mouse71,KO,Spleen,Il2,27.16,1,2026-03-09,False
S_1286,Mouse62,HET,Lymph Node,Ifng,21.82,2,2026-03-04,False
S1802,Mouse86,WT,Spleen,Tnfa,22.82,2,2026-03-18,False
S1232,Mouse59,WT,Thymus,Cd8a,20.45,2,2026-03-24,False
S0641,Mouse31,HET,Spleen,Cd4,20.12,2,2026-06-03,False
S0376 ,Mouse18,KO,Spleen,Gapdh,19.1,1,2026-04-19,False
S1669,Mouse80,WT,Spleen,Cd4,20.22,1,2026-03-24,False
S1661 ,Mouse80,WT,Spleen,Il2,24.46,2,2026-03-24,False
S0554,Mouse27,WT,Spleen,Foxp3,27.01,2,2026-04-14,False
S0722,Mouse35,KO,Lymph Node,Foxp3,29.52,2,2026-03-30,False
S0962,Mouse46,KO,Spleen,Tnfa,22.3,2,2026-03-21,False
S_1330,Mouse64,WT,Lymph Node,Foxp3,25.52,1,2026-07-04,False
S1464,Mouse70,HET,Lymph Node,Cd8a,21.56,3,2026-03-26,False
S1763,Mouse84,KO,Spleen,Gapdh,17.74,2,2026-02-04,False
S1422,Mouse68,HET,Thymus,Cd8a,20.95,3,2026-04-20,False
S0883,Mouse43,WT,Spleen,Il2,24.11,1,2026-04-27,False
S0285,Mouse14,HET,Thymus,Cd4,20.54,3,2026-03-31,False
S1380,Mouse66,KO,Thymus,Cd8a,21.79,3,2026-04-01,False
S1365,Mouse65,WT,Spleen,Gapdh,18.14,3,2026-03-14,False
S1665,Mouse80,WT,Spleen,Ifng,21.94,3,2026-03-24,False
s1322,Mouse63,KO,Spleen,Gapdh,17.81,2,2026-04-12,False
S1275,Mouse61,KO,Spleen,Cd8a,21.02,3,2026-03-11,False
S1864,Mouse89,WT,Spleen,Tnfa,23.0,1,2026-03-28,False
S0705,Mouse34,HET,Spleen,Cd4,,3,2026-08-04,True
S0931,Mouse45,KO,Thymus,Foxp3,29.45,1,2026-03-15,False
S0393,Mouse19,KO,Lymph Node,Cd8a,21.43,3,2026-11-03,False
S0759,Mouse37,HET,Spleen,Il2,24.11,3,2026-03-03,False
S_1183,Mouse57,WT,Thymus,Foxp3,25.82,1,2026-04-13,False
S0378,Mouse18,KO,Spleen,Gapdh,17.72,3,2026-04-19,False
S0454 ,Mouse22,WT,Spleen,Cd8a,19.62,1,2026-03-03,False
s1230,Mouse59,WT,Thymus,Cd4,20.05,3,2026-03-24,False
S1372,Mouse66,KO,Thymus,Foxp3,30.19,1,2026-04-01,False
S0288,Mouse14,HET,Thymus,Cd8a,21.38,3,2026-03-31,False
S0300,Mouse15,WT,Thymus,Ifng,22.66,3,2026-03-03,False
S1683,Mouse81,WT,Spleen,Il2,24.43,3,2026-03-20,False
S_1480,Mouse71,KO,Spleen,Cd4,19.67,1,2026-03-09,False
S_59,Mouse3,HET,Thymus,Tnfa,29.52,2,2026-03-04,False
S0817,Mouse39,KO,Spleen,Gapdh,,1,2026-04-25,True
s0650,Mouse31,HET,Spleen,Gapdh,18.9,2,2026-06-03,False
S0205,Mouse10,WT,Spleen,Tnfa,23.57,1,2026-10-04,False
S1262,Mouse61,KO,Spleen,Il2,28.0,2,2026-03-11,False
S0111,Mouse6,HET,Thymus,Ifng,21.88,3,2026-03-22,False
S0128,Mouse7,WT,Lymph Node,Il2,23.78,2,2026-04-10,False
S1760 ,Mouse84,KO,Spleen,Tnfa,22.21,2,2026-04-02,False
s1305,Mouse63,KO,Spleen,Il2,27.13,3,2026-04-12,False
S0299,Mouse15,WT,Thymus,Ifng,21.87,2,2026-03-03,False
S1034,Mouse50,HET,Thymus,Ifng,20.96,2,2026-03-15,False
S0502 ,Mouse24,WT,Thymus,Gapdh,18.45,1,2026-04-29,False
S0870,Mouse42,KO,Thymus,Foxp3,26.3,3,2026-04-12,False
s0493,Mouse24,WT,Thymus,Cd4,20.16,1,2026-04-29,False
S1378,Mouse66,KO,Thymus,Cd8a,21.53,1,2026-01-04,False
S0770,Mouse37,HET,Spleen,Cd8a,21.12,2,2026-03-03,False
S0052,Mouse3,HET,Thymus,Cd4,20.53,1,2026-04-03,False
S1455,Mouse70,HET,Lymph Node,Ifng,21.93,3,2026-03-26,False
S1853,Mouse89,WT,Spleen,Ifng,22.58,2,2026-03-28,False
S1299,Mouse62,HET,Lymph Node,Tnfa,23.92,3,2026-04-03,False
S0572 ,Mouse28,KO,Spleen,Ifng,21.49,2,2026-03-28,False
S1644,Mouse79,WT,Thymus,Ifng,22.18,3,2026-03-23,False
S1174,Mouse56,WT,Thymus,Gapdh,18.02,1,2026-04-04,False
S1459,Mouse70,HET,Lymph Node,Cd4,20.43,1,2026-03-26,False
S0186,Mouse9,KO,Spleen,Tnfa,,3,2026-04-18,True
S0008,Mouse1,KO,Spleen,Foxp3,26.46,2,2026-03-15,False
S1697,Mouse81,WT,Spleen,Tnfa,22.89,2,2026-03-20,False
S_1562,Mouse75,HET,Spleen,Foxp3,25.81,2,2026-03-10,False
S0230,Mouse11,KO,Lymph Node,Gapdh,18.11,2,2026-04-17,False
S1253 ,Mouse60,HET,Thymus,Cd8a,20.53,2,2026-01-03,False
S1038,Mouse50,HET,Thymus,Foxp3,25.25,3,2026-03-15,False
S0859,Mouse41,KO,Spleen,Gapdh,19.52,1,2026-03-27,False
S0719,Mouse35,KO,Lymph Node,Ifng,20.9,2,2026-03-30,False
S1596,Mouse76,KO,Thymus,Gapdh,17.95,3,2026-03-17,False
S1216,Mouse58,HET,Thymus,Gapdh,17.54,1,2026-04-19,False
S1309,Mouse63,KO,Spleen,Foxp3,29.6,1,2026-04-12,False
S0526,Mouse26,WT,Lymph Node,Il2,24.86,1,2026-05-04,False
s0919,Mouse44,KO,Spleen,Tnfa,23.39,1,2026-03-11,False
S1814,Mouse87,HET,Spleen,Foxp3,26.38,2,2026-03-15,False
S0451,Mouse22,WT,Spleen,Cd4,19.68,1,2026-03-03,False
S0721,Mouse35,KO,Lymph Node,Foxp3,29.13,1,2026-03-30,False
S1172,Mouse56,WT,Thymus,Tnfa,23.33,2,2026-04-04,False
S0472,Mouse23,KO,Spleen,Cd4,20.53,1,2026-04-29,False
S1831,Mouse88,KO,Thymus,Ifng,21.84,1,2026-04-01,False
S0340,Mouse17,WT,Spleen,Ifng,22.94,1,2026-10-03,False
S_566,Mouse27,WT,Spleen,Gapdh,19.36,2,2026-04-14,False
S1749,Mouse84,KO,Spleen,Ifng,21.85,3,2026-04-02,False
S0766 ,Mouse37,HET,Spleen,Cd4,20.28,1,2026-03-03,False
S1594,Mouse76,KO,Thymus,Gapdh,17.06,1,2026-03-17,False
S0515,Mouse25,KO,Thymus,Cd4,19.96,2,2026-03-21,False
S1599,Mouse77,KO,Lymph Node,Il2,27.68,3,2026-03-14,False
S1057,Mouse51,HET,Spleen,Foxp3,25.82,1,2026-04-29,False
S0456,Mouse22,WT,Spleen,Cd8a,21.82,3,2026-03-03,False
S1079,Mouse52,KO,Spleen,Foxp3,29.67,2,2026-04-17,False
S0142,Mouse7,WT,Lymph Node,Tnfa,,1,2026-10-04,True
S1157,Mouse56,WT,Thymus,Il2,23.92,2,2026-04-04,False
S1199,Mouse58,HET,Thymus,Il2,23.67,2,2026-04-19,False
S_1734,Mouse83,KO,Thymus,Cd4,20.6,3,2026-03-23,False
S1068,Mouse51,HET,Spleen,Tnfa,23.01,3,2026-04-29,False
S0798,Mouse38,KO,Thymus,Gapdh,18.64,3,2026-04-18,False
S0702,Mouse34,HET,Spleen,Foxp3,29.47,3,2026-08-04,False
S0207,Mouse10,WT,Spleen,Tnfa,22.81,3,2026-10-04,False
S1274,Mouse61,KO,Spleen,Cd8a,20.46,2,2026-11-03,False
S0309,Mouse15,WT,Thymus,Cd8a,21.06,3,2026-03-03,False
S0675,Mouse33,HET,Spleen,Il2,23.35,3,2026-03-17,False
S1800,Mouse86,WT,Spleen,Cd8a,19.67,3,2026-03-18,False
S1737,Mouse83,KO,Thymus,Cd8a,20.61,3,2026-03-23,False
S0726,Mouse35,KO,Lymph Node,Cd4,19.55,3,2026-03-30,False
S1786,Mouse86,WT,Spleen,Il2,23.61,1,2026-03-18,False
S1819,Mouse87,HET,Spleen,Cd8a,22.61,1,2026-03-15,False
S1844,Mouse88,KO,Thymus,Tnfa,22.87,2,2026-01-04,False
S1528,Mouse73,WT,Lymph Node,Tnfa,22.34,1,2026-04-14,False
S0936,Mouse45,KO,Thymus,Cd4,20.27,3,2026-03-15,False
S0453,Mouse22,WT,Spleen,Cd4,19.83,3,2026-03-03,False
S_1105,Mouse53,WT,Thymus,Cd8a,19.99,1,2026-03-30,False
S1059,Mouse51,HET,Spleen,Foxp3,25.8,3,2026-04-29,False
s0072,Mouse4,HET,Lymph Node,Foxp3,26.49,3,2026-04-02,False
S1825,Mouse87,HET,Spleen,Gapdh,18.28,1,2026-03-15,False
S0173,Mouse9,KO,Spleen,Ifng,21.16,2,2026-04-18,False
S0368,Mouse18,KO,Spleen,Cd4,19.19,2,2026-04-19,False
S0857,Mouse41,KO,Spleen,Tnfa,22.99,2,2026-03-27,False
S1651,Mouse79,WT,Thymus,Cd8a,,1,2026-03-23,True
S1257 ,Mouse60,HET,Thymus,Tnfa,,3,2026-01-03,False
S0673,Mouse33,HET,Spleen,Il2,23.78,1,2026-03-17,False
S1139,Mouse55,KO,Spleen,Ifng,22.41,2,2026-03-29,False
s1247,Mouse60,HET,Thymus,Foxp3,26.12,2,2026-03-01,False
S0758,Mouse37,HET,Spleen,Il2,,2,2026-03-03,True
S1270,Mouse61,KO,Spleen,Cd4,20.6,1,2026-03-11,False
S1409,Mouse68,HET,Thymus,Il2,24.18,2,2026-04-20,False
s0778,Mouse38,KO,Thymus,Il2,27.52,1,2026-04-18,False
S_325,Mouse16,HET,Spleen,Cd4,19.5,1,2026-04-05,False
s1390,Mouse67,KO,Lymph Node,Ifng,23.08,1,2026-06-04,False
S0117,Mouse6,HET,Thymus,Cd4,20.47,3,2026-03-22,False
S_1321,Mouse63,KO,Spleen,Gapdh,18.72,1,2026-04-12,False
s1587,Mouse76,KO,Thymus,Cd4,19.71,3,2026-03-17,False
S1677,Mouse80,WT,Spleen,Tnfa,23.83,3,2026-03-24,False
S0373,Mouse18,KO,Spleen,Tnfa,29.16,1,2026-04-19,False
S1756,Mouse84,KO,Spleen,Cd8a,22.02,1,2026-04-02,False
S0005,Mouse1,KO,Spleen,Ifng,21.86,2,2026-03-15,False
S1224,Mouse59,WT,Thymus,Ifng,21.27,3,2026-03-24,False
S0508,Mouse25,KO,Thymus,Ifng,20.92,1,2026-03-21,False
S0047 ,Mouse3,HET,Thymus,Ifng,21.19,2,2026-03-04,False
s0739,Mouse36,KO,Spleen,Ifng,21.65,1,2026-03-21,False
S1798,Mouse86,WT,Spleen,Cd8a,21.21,1,2026-03-18,False
S1823,Mouse87,HET,Spleen,Tnfa,23.51,2,2026-03-15,False
S0238 ,Mouse12,WT,Thymus,Foxp3,25.81,1,2026-04-03,False
S0021,Mouse1,KO,Spleen,Gapdh,17.62,3,2026-03-15,False
S0411 ,Mouse20,WT,Spleen,Cd4,20.64,3,2026-03-15,False
S1731,Mouse83,KO,Thymus,Foxp3,38.81,3,2026-03-23,False
S0834,Mouse40,WT,Spleen,Cd8a,20.66,3,2026-03-11,False
S0631 ,Mouse31,HET,Spleen,Il2,23.86,1,2026-03-06,False
S_856,Mouse41,KO,Spleen,Tnfa,23.13,1,2026-03-27,False
S_195,Mouse10,WT,Spleen,Ifng,22.65,3,2026-04-10,False
S1553,Mouse74,WT,Spleen,Gapdh,18.53,2,2026-04-27,False
S1267,Mouse61,KO,Spleen,Foxp3,29.66,1,2026-03-11,False
S1428,Mouse68,HET,Thymus,Gapdh,18.43,3,2026-04-20,False
S1632,Mouse78,WT,Spleen,Cd8a,20.97,3,2026-04-21,False
S1051,Mouse51,HET,Spleen,Il2,,1,2026-04-29,True
S0103,Mouse5,KO,Lymph Node,Gapdh,19.13,1,2026-09-04,False
S1868,Mouse89,WT,Spleen,Gapdh,17.78,2,2026-03-28,False
S0263,Mouse13,WT,Thymus,Cd4,26.06,2,2026-03-06,False
S0387,Mouse19,KO,Lymph Node,Foxp3,29.23,3,2026-03-11,False
S1767,Mouse85,KO,Thymus,Il2,26.6,3,2026-04-03,False
S0921,Mouse44,KO,Spleen,Tnfa,24.11,3,2026-11-03,False
S1700,Mouse81,WT,Spleen,Gapdh,18.25,2,2026-03-20,False
S0180,Mouse9,KO,Spleen,Cd4,20.44,3,2026-04-18,False
S0604,Mouse29,WT,Spleen,Tnfa,23.28,1,2026-04-28,False
S0314 ,Mouse15,WT,Thymus,Gapdh,17.27,2,2026-03-03,False
S1703,Mouse82,KO,Thymus,Il2,27.62,2,2026-03-16,False
S1860,Mouse89,WT,Spleen,Cd4,20.25,3,2026-03-28,False
S1682,Mouse81,WT,Spleen,Il2,23.21,2,2026-03-20,False
S1880,Mouse90,KO,Thymus,Cd4,19.32,2,2026-03-05,False
S0464,Mouse23,KO,Spleen,Il2,23.43,2,2026-04-29,False
S0371,Mouse18,KO,Spleen,Cd8a,19.85,2,2026-04-19,False
S0331 ,Mouse16,HET,Spleen,Tnfa,22.74,1,2026-05-04,False
S1114,Mouse54,KO,Thymus,Il2,26.88,1,2026-04-28,False
S0110,Mouse6,HET,Thymus,Ifng,23.48,2,2026-03-22,False
S1866,Mouse89,WT,Spleen,Tnfa,22.93,3,2026-03-28,False
S0864,Mouse42,KO,Thymus,Il2,25.11,3,2026-12-04,False
S0993,Mouse48,WT,Lymph Node,Ifng,21.38,3,2026-05-04,False
S1502,Mouse72,KO,Thymus,Cd4,19.82,2,2026-03-28,False
S0329,Mouse16,HET,Spleen,Cd8a,25.93,2,2026-05-04,False
S1555,Mouse75,HET,Spleen,Il2,23.33,1,2026-03-10,False
S0595,Mouse29,WT,Spleen,Foxp3,29.67,1,2026-04-28,False
S1189,Mouse57,WT,Thymus,Cd8a,20.29,1,2026-04-13,False
S1829,Mouse88,KO,Thymus,Il2,23.43,2,2026-04-01,False
S0096,Mouse5,KO,Lymph Node,Cd4,19.86,3,2026-04-09,False
S0362,Mouse18,KO,Spleen,Ifng,23.09,2,2026-04-19,False
S1715,Mouse82,KO,Thymus,Cd8a,20.04,2,2026-03-16,False
S1125,Mouse54,KO,Thymus,Cd4,20.65,3,2026-04-28,False
S0475,Mouse23,KO,Spleen,Cd8a,21.05,1,2026-04-29,False
S0147,Mouse7,WT,Lymph Node,Gapdh,18.78,3,2026-10-04,False
S1263,Mouse61,KO,Spleen,Il2,27.55,3,2026-11-03,False
S0279,Mouse14,HET,Thymus,Ifng,21.88,3,2026-03-31,False
S1563,Mouse75,HET,Spleen,Foxp3,25.74,3,2026-03-10,False
S1397,Mouse67,KO,Lymph Node,Cd4,19.64,2,2026-06-04,False
S0432,Mouse21,WT,Thymus,Cd4,19.36,3,2026-03-10,False
S0957,Mouse46,KO,Spleen,Cd4,20.47,3,2026-03-21,False
S0545,Mouse26,WT,Lymph Node,Gapdh,18.52,2,2026-04-05,False
S1822,Mouse87,HET,Spleen,Tnfa,23.44,1,2026-03-15,False
S1063,Mouse51,HET,Spleen,Cd8a,20.92,1,2026-04-29,False
S0416,Mouse20,WT,Spleen,Tnfa,23.43,2,2026-03-15,False
S0398,Mouse19,KO,Lymph Node,Gapdh,17.55,2,2026-11-03,False
S0242 ,Mouse12,WT,Thymus,Cd4,20.76,2,2026-04-03,False
S0559,Mouse27,WT,Spleen,Cd8a,21.14,1,2026-04-14,False
S1188,Mouse57,WT,Thymus,Cd4,21.29,3,2026-04-13,False
S1089,Mouse52,KO,Spleen,Tnfa,22.73,3,2026-04-17,False
S1151,Mouse55,KO,Spleen,Tnfa,21.85,2,2026-03-29,False
S0424,Mouse21,WT,Thymus,Ifng,21.0,1,2026-03-10,False
S0958,Mouse46,KO,Spleen,Cd8a,21.26,1,2026-03-21,False
s0620,Mouse30,HET,Spleen,Cd4,20.04,2,2026-03-10,False
S0112,Mouse6,HET,Thymus,Foxp3,26.18,1,2026-03-22,False
S0703,Mouse34,HET,Spleen,Cd4,28.35,1,2026-04-08,False
S0747,Mouse36,KO,Spleen,Cd4,19.62,3,2026-03-21,False
S0889,Mouse43,WT,Spleen,Foxp3,,1,2026-04-27,True
S0352,Mouse17,WT,Spleen,Tnfa,23.27,1,2026-03-10,False
S0838,Mouse40,WT,Spleen,Gapdh,18.38,1,2026-11-03,False
S0557,Mouse27,WT,Spleen,Cd4,20.5,2,2026-04-14,False
s1805,Mouse86,WT,Spleen,Gapdh,18.31,2,2026-03-18,False
S0354,Mouse17,WT,Spleen,Tnfa,23.59,3,2026-10-03,False
S1009,Mouse49,HET,Thymus,Il2,22.88,1,2026-04-17,False
S1035,Mouse50,HET,Thymus,Ifng,31.63,3,2026-03-15,False
S0420,Mouse20,WT,Spleen,Gapdh,18.2,3,2026-03-15,False
S0439,Mouse21,WT,Thymus,Gapdh,17.94,1,2026-10-03,False
S0442,Mouse22,WT,Spleen,Il2,23.28,1,2026-03-03,False
S0876,Mouse42,KO,Thymus,Cd8a,21.09,3,2026-04-12,False
S0448,Mouse22,WT,Spleen,Foxp3,25.87,1,2026-03-03,False
S0264,Mouse13,WT,Thymus,Cd4,20.55,3,2026-03-06,False
S0102,Mouse5,KO,Lymph Node,Tnfa,23.24,3,2026-09-04,False
S0276,Mouse14,HET,Thymus,Il2,24.35,3,2026-03-31,False
S1207,Mouse58,HET,Thymus,Cd4,20.34,1,2026-04-19,False
S0250,Mouse12,WT,Thymus,Gapdh,19.12,1,2026-04-03,False
S0738,Mouse36,KO,Spleen,Il2,27.92,3,2026-03-21,False
S1287,Mouse62,HET,Lymph Node,Ifng,21.63,3,2026-03-04,False
S1201,Mouse58,HET,Thymus,Ifng,21.95,1,2026-04-19,False
S0748,Mouse36,KO,Spleen,Cd8a,22.09,1,2026-03-21,False
S0928,Mouse45,KO,Thymus,Ifng,22.21,1,2026-03-15,False
S1346,Mouse65,WT,Spleen,Il2,24.12,2,2026-03-14,False
S0342,Mouse17,WT,Spleen,Ifng,22.0,3,2026-03-10,False
S0061,Mouse3,HET,Thymus,Gapdh,18.49,1,2026-03-04,False
S1650,Mouse79,WT,Thymus,Cd4,20.78,3,2026-03-23,False
S0591,Mouse29,WT,Spleen,Il2,,3,2026-04-28,False
S0282,Mouse14,HET,Thymus,Foxp3,26.51,3,2026-03-31,False
S1352,Mouse65,WT,Spleen,Foxp3,26.55,2,2026-03-14,False
S1610,Mouse77,KO,Lymph Node,Cd8a,21.77,2,2026-03-14,False
S0692,Mouse33,HET,Spleen,Gapdh,19.02,2,2026-03-17,False
S1369,Mouse66,KO,Thymus,Ifng,21.41,1,2026-04-01,False
S0877,Mouse42,KO,Thymus,Tnfa,23.72,1,2026-04-12,False
S1288,Mouse62,HET,Lymph Node,Foxp3,25.89,1,2026-04-03,False
s0624,Mouse30,HET,Spleen,Cd8a,22.0,3,2026-10-03,False
S1811,Mouse87,HET,Spleen,Ifng,22.12,2,2026-03-15,False
S_1611,Mouse77,KO,Lymph Node,Cd8a,26.83,3,2026-03-14,False
S0029,Mouse2,WT,Spleen,Foxp3,26.17,2,2026-04-02,False
S0796,Mouse38,KO,Thymus,Gapdh,18.53,1,2026-04-18,False
S1696,Mouse81,WT,Spleen,Tnfa,22.96,1,2026-03-20,False
S0225,Mouse11,KO,Lymph Node,Cd8a,22.43,3,2026-04-17,False
S1122,Mouse54,KO,Thymus,Foxp3,29.14,3,2026-04-28,False
S_743,Mouse36,KO,Spleen,Foxp3,30.19,2,2026-03-21,False
S_899,Mouse43,WT,Spleen,Tnfa,23.64,2,2026-04-27,False
S0547,Mouse27,WT,Spleen,Il2,24.72,1,2026-04-14,False
S1565,Mouse75,HET,Spleen,Cd4,20.38,2,2026-03-10,False
S0390,Mouse19,KO,Lymph Node,Cd4,19.91,3,2026-11-03,False
S0480,Mouse23,KO,Spleen,Tnfa,22.89,3,2026-04-29,False
S1477,Mouse71,KO,Spleen,Foxp3,30.11,1,2026-09-03,False
S0471,Mouse23,KO,Spleen,Foxp3,,3,2026-04-29,True
s1318,Mouse63,KO,Spleen,Tnfa,23.59,1,2026-04-12,False
S0099,Mouse5,KO,Lymph Node,Cd8a,20.79,3,2026-09-04,False
S0413 ,Mouse20,WT,Spleen,Cd8a,20.29,2,2026-03-15,False
S0906,Mouse44,KO,Spleen,Il2,24.23,3,2026-03-11,False
S0717,Mouse35,KO,Lymph Node,Il2,26.9,3,2026-03-30,False
S1404,Mouse67,KO,Lymph Node,Tnfa,22.8,3,2026-04-06,False
S0013,Mouse1,KO,Spleen,Cd8a,19.43,1,2026-03-15,False
s0341,Mouse17,WT,Spleen,Ifng,21.82,2,2026-03-10,False
S1328,Mouse64,WT,Lymph Node,Ifng,21.99,2,2026-07-04,False
S0168 ,Mouse8,WT,Thymus,Gapdh,17.86,3,2026-04-08,False
S1023,Mouse49,HET,Thymus,Cd8a,21.24,3,2026-04-17,False
S1516,Mouse73,WT,Lymph Node,Ifng,22.24,1,2026-04-14,False
S0189,Mouse9,KO,Spleen,Gapdh,17.47,3,2026-04-18,False
S1420,Mouse68,HET,Thymus,Cd8a,21.02,1,2026-04-20,False
S0044 ,Mouse3,HET,Thymus,Il2,23.05,2,2026-04-03,False
S1050,Mouse50,HET,Thymus,Gapdh,18.31,3,2026-03-15,False
s0010,Mouse1,KO,Spleen,Cd4,20.33,1,2026-03-15,False
S1359 ,Mouse65,WT,Spleen,Cd8a,20.29,3,2026-03-14,False
S0148,Mouse8,WT,Thymus,Il2,23.48,1,2026-08-04,False
S1735,Mouse83,KO,Thymus,Cd8a,19.38,1,2026-03-23,False
S0014,Mouse1,KO,Spleen,Cd8a,21.57,2,2026-03-15,False
S1583,Mouse76,KO,Thymus,Foxp3,37.63,2,2026-03-17,False
S0431,Mouse21,WT,Thymus,Cd4,19.69,2,2026-03-10,False
s0872,Mouse42,KO,Thymus,Cd4,20.7,2,2026-04-12,False
S1173,Mouse56,WT,Thymus,Tnfa,23.03,3,2026-04-04,False
S0863,Mouse42,KO,Thymus,Il2,24.41,2,2026-04-12,False
S0869,Mouse42,KO,Thymus,Foxp3,26.49,2,2026-12-04,False
S0351,Mouse17,WT,Spleen,Cd8a,20.79,3,2026-10-03,False
S1851,Mouse89,WT,Spleen,Il2,22.99,3,2026-03-28,False
S0701,Mouse34,HET,Spleen,Foxp3,29.28,2,2026-04-08,False
S1159,Mouse56,WT,Thymus,Ifng,21.42,1,2026-04-04,False
S1785,Mouse85,KO,Thymus,Gapdh,,3,2026-03-04,True
S0644,Mouse31,HET,Spleen,Cd8a,20.67,2,2026-06-03,False
S1606,Mouse77,KO,Lymph Node,Cd4,19.6,1,2026-03-14,False
S0375,Mouse18,KO,Spleen,Tnfa,22.21,3,2026-04-19,False
s1774,Mouse85,KO,Thymus,Cd4,21.64,1,2026-03-04,False
S1107,Mouse53,WT,Thymus,Cd8a,21.63,3,2026-03-30,False
S0427,Mouse21,WT,Thymus,Foxp3,25.22,1,2026-03-10,False
S1862 ,Mouse89,WT,Spleen,Cd8a,20.99,2,2026-03-28,False
S1158,Mouse56,WT,Thymus,Il2,23.9,3,2026-04-04,False
S1387,Mouse67,KO,Lymph Node,Il2,27.15,1,2026-06-04,False
S1124 ,Mouse54,KO,Thymus,Cd4,19.58,2,2026-04-28,False
S0116,Mouse6,HET,Thymus,Cd4,20.45,2,2026-03-22,False
