Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date
S0038,Mouse 2,WT,Spleen,Tnfa,23.66,2,02/04/2026
S1667,Mouse 80,WT,spleen,Foxp3,26.02,2,24.03.2026
S0829,Mouse 40,WT,spleen,Cd4,19.63,1,03-11-2026
S0507,mouse_25,KO,thymus,Il2,27.04,3,03-21-2026
S0749,Mouse36,KO,Spleen,Cd8a,21.42,2,21/03/2026
S0780,Mouse 38,KO,Thymus,Il2,27.19,3,18.04.2026
S0871,mouse_42,KO,Thymus,Cd4,20.64,1,12/04/2026
S_858,mouse_41,KO ,Spleen,Tnfa,23.71,3,27/03/2026
s1006,M-48,WT,Lymph Node,Gapdh,17.93,1,05/04/2026
S1471,mouse_71,KO,spleen,Il2,27.16,1,09/03/2026
S_1286,Mouse62,Het,Lymph Node,Ifng,21.82,2,04/03/2026
S1802,mouse_86,WT,spleen,Tnfa,22.82,2,18/03/2026
S1232,M-59,WT,Thymus,Cd8a,20.45,2,24/03/2026
S0641,M-31,HET,Spleen,Cd4,20.12,2,03-06-2026
S0376 ,Mouse 18,ko,Spleen,Gapdh,19.1,1,19/04/2026
S1669,Mouse 80,WT,spleen,Cd4,20.22,1,2026.03.24
S1661 ,Mouse 80,WT,spleen,Il2,24.46,2,24/03/2026
S0554,M-27,WT,spleen,Foxp3,27.01,2,14.04.2026
S0722,M-35,KO,Lymph Node,Foxp3,29.52,2,30.03.2026
S0962,M-46,KO ,Spleen,Tnfa,22.3,2,21.03.2026
S_1330,Mouse 64,WT,Lymph Node,Foxp3,25.52,1,2026.04.07
S1464,M-70,Het,Lymph Node,Cd8a,21.56,3,03-26-2026
S1763,Mouse84,KO,Spleen,Gapdh,17.74,2,04-02-2026
S1422,Mouse68,Het,thymus,Cd8a,20.95,3,04-20-2026
S0883,Mouse43,WT,Spleen,Il2,24.11,1,27.04.2026
S0285,Mouse 14,HET,Thymus,Cd4,20.54,3,03-31-2026
S1380,M-66,KO,thymus,Cd8a,21.79,3,01/04/2026
S1365,mouse_65,WT,spleen,Gapdh,18.14,3,2026.03.14
S1665,Mouse 80,WT,spleen,Ifng,21.94,3,03-24-2026
s1322,mouse_63,KO,spleen,Gapdh,17.81,2,12.04.2026
S1275,mouse_61,ko,spleen,CD8A,21.02,3,11/03/2026
S1864,Mouse89,WT ,spleen,TNFA,23.0,1,2026.03.28
S0705,Mouse 34,HET,spleen,CD4,Undetermined,3,04-08-2026
S0931,mouse_45,ko,thymus,Foxp3,29.45,1,2026.03.15
S0393,Mouse 19,KO,Lymph Node,Cd8a,21.43,3,03-11-2026
S0759,Mouse 37,Het,Spleen,IL2,24.11,3,03/03/2026
S_1183,M-57,WT,Thymus,FOXP3,25.82,1,2026.04.13
S0378,Mouse 18,ko,Spleen,GAPDH,17.72,3,04-19-2026
S0454 ,Mouse 22,wt,spleen,Cd8a,19.62,1,03/03/2026
s1230,M-59,WT,Thymus,Cd4,20.05,3,24/03/2026
S1372,M-66,KO,thymus,FOXP3,30.19,1,01/04/2026
S0288,Mouse 14,HET,Thymus,Cd8a,21.38,3,03-31-2026
S0300,Mouse 15,WT ,thymus,Ifng,22.66,3,03-03-2026
S1683,Mouse81,WT,Spleen,IL2,24.43,3,03-20-2026
S_1480,mouse_71,KO,spleen,Cd4,19.67,1,09.03.2026
S_59,Mouse 3,Het,Thymus,Tnfa,29.52,2,04/03/2026
S0817,M-39,ko,spleen,Gapdh,Undetermined,1,25/04/2026
s0650,M-31,HET,Spleen,Gapdh,18.9,2,2026.03.06
S0205,M-10,wt,Spleen,Tnfa,23.57,1,04-10-2026
S1262,mouse_61,ko,spleen,Il2,28.0,2,11.03.2026
S0111,Mouse 6,Het,thymus,Ifng,21.88,3,03-22-2026
S0128,Mouse 7,WT,Lymph Node,Il2,23.78,2,10.04.2026
S1760 ,Mouse84,KO,Spleen,Tnfa,22.21,2,02.04.2026
s1305,mouse_63,KO,spleen,IL2,27.13,3,12.04.2026
S0299,Mouse 15,WT ,thymus,Ifng,21.87,2,03.03.2026
S1034,Mouse 50,Het,Thymus,Ifng,20.96,2,03-15-2026
S0502 ,Mouse24,WT,thymus,GAPDH,18.45,1,2026.04.29
S0870,mouse_42,KO,Thymus,Foxp3,26.3,3,12/04/2026
s0493,Mouse24,WT,thymus,Cd4,20.16,1,29.04.2026
S1378,M-66,KO,thymus,Cd8a,21.53,1,2026.04.01
S0770,Mouse 37,Het,Spleen,Cd8a,21.12,2,03/03/2026
S0052,Mouse 3,Het,Thymus,CD4,20.53,1,03-04-2026
S1455,M-70,Het,Lymph Node,Ifng,21.93,3,2026.03.26
S1853,Mouse89,WT ,spleen,Ifng,22.58,2,28.03.2026
S1299,Mouse62,Het,Lymph Node,Tnfa,23.92,3,2026.03.04
S0572 ,Mouse28,KO,Spleen,Ifng,21.49,2,03-28-2026
S1644,mouse_79,WT,thymus,Ifng,22.18,3,2026.03.23
S1174,M-56,WT,thymus,GAPDH,18.02,1,04/04/2026
S1459,M-70,Het,Lymph Node,Cd4,20.43,1,26.03.2026
S0186,Mouse 9,KO ,spleen,TNFA,Undetermined,3,04-18-2026
S0008,mouse_1,ko,Spleen,Foxp3,26.46,2,15.03.2026
S1697,Mouse81,WT,Spleen,Tnfa,22.89,2,20.03.2026
S_1562,mouse_75,Het,Spleen,Foxp3,25.81,2,10/03/2026
S0230,M-11,KO,Lymph Node,GAPDH,18.11,2,04-17-2026
S1253 ,Mouse60,HET,Thymus,CD8A,20.53,2,2026.03.01
S1038,Mouse 50,Het,Thymus,Foxp3,25.25,3,15.03.2026
S0859,mouse_41,KO ,Spleen,Gapdh,19.52,1,03-27-2026
S0719,M-35,KO,Lymph Node,Ifng,20.9,2,2026.03.30
S1596,Mouse76,KO ,thymus,Gapdh,17.95,3,17.03.2026
S1216,mouse_58,Het,thymus,Gapdh,17.54,1,19/04/2026
S1309,mouse_63,KO,spleen,Foxp3,29.6,1,12/04/2026
S0526,Mouse 26,WT ,Lymph Node,Il2,24.86,1,04-05-2026
s0919,Mouse44,KO,spleen,Tnfa,23.39,1,11.03.2026
S1814,Mouse87,Het,spleen,FOXP3,26.38,2,03-15-2026
S0451,Mouse 22,wt,spleen,Cd4,19.68,1,03.03.2026
S0721,M-35,KO,Lymph Node,Foxp3,29.13,1,30.03.2026
S1172,M-56,WT,thymus,Tnfa,23.33,2,04.04.2026
S0472,Mouse 23,ko,spleen,Cd4,20.53,1,29/04/2026
S1831,M-88,KO,thymus,Ifng,21.84,1,01/04/2026
S0340,Mouse 17,WT,spleen,Ifng,22.94,1,2026.03.10
S_566,M-27,WT,spleen,Gapdh,19.36,2,2026.04.14
S1749,Mouse84,KO,Spleen,Ifng,21.85,3,02/04/2026
S0766 ,Mouse 37,Het,Spleen,Cd4,20.28,1,03.03.2026
S1594,Mouse76,KO ,thymus,Gapdh,17.06,1,2026.03.17
S0515,mouse_25,KO,thymus,Cd4,19.96,2,03-21-2026
S1599,Mouse 77,KO ,Lymph Node,Il2,27.68,3,14.03.2026
S1057,Mouse51,HET,spleen,Foxp3,25.82,1,2026.04.29
S0456,Mouse 22,wt,spleen,Cd8a,21.82,3,03/03/2026
S1079,mouse_52,KO,Spleen,Foxp3,29.67,2,2026.04.17
S0142,Mouse 7,WT,Lymph Node,Tnfa,Undetermined,1,2026.04.10
S1157,M-56,WT,thymus,Il2,23.92,2,04.04.2026
S1199,mouse_58,Het,thymus,IL2,23.67,2,19/04/2026
S_1734,M-83,KO,Thymus,Cd4,20.6,3,23.03.2026
S1068,Mouse51,HET,spleen,Tnfa,23.01,3,29.04.2026
S0798,Mouse 38,KO,Thymus,Gapdh,18.64,3,18.04.2026
S0702,Mouse 34,HET,spleen,Foxp3,29.47,3,04-08-2026
S0207,M-10,wt,Spleen,TNFA,22.81,3,04-10-2026
S1274,mouse_61,ko,spleen,Cd8a,20.46,2,03-11-2026
S0309,Mouse 15,WT ,thymus,Cd8a,21.06,3,03/03/2026
S0675,M-33,Het,spleen,Il2,23.35,3,17/03/2026
S1800,mouse_86,WT,spleen,Cd8a,19.67,3,18.03.2026
S1737,M-83,KO,Thymus,Cd8a,20.61,3,23/03/2026
S0726,M-35,KO,Lymph Node,Cd4,19.55,3,30.03.2026
S1786,mouse_86,WT,spleen,Il2,23.61,1,18.03.2026
S1819,Mouse87,Het,spleen,Cd8a,22.61,1,15/03/2026
S1844,M-88,KO,thymus,TNFA,22.87,2,2026.04.01
S1528,Mouse73,WT,Lymph Node,Tnfa,22.34,1,2026.04.14
S0936,mouse_45,ko,thymus,CD4,20.27,3,2026.03.15
S0453,Mouse 22,wt,spleen,Cd4,19.83,3,03/03/2026
S_1105,Mouse 53,WT,thymus,Cd8a,19.99,1,03-30-2026
S1059,Mouse51,HET,spleen,Foxp3,25.8,3,04-29-2026
s0072,Mouse 4,Het,Lymph Node,Foxp3,26.49,3,02.04.2026
S1825,Mouse87,Het,spleen,GAPDH,18.28,1,03-15-2026
S0173,Mouse 9,KO ,spleen,Ifng,21.16,2,2026.04.18
S0368,Mouse 18,ko,Spleen,Cd4,19.19,2,19/04/2026
S0857,mouse_41,KO ,Spleen,TNFA,22.99,2,2026.03.27
S1651,mouse_79,WT,thymus,Cd8a,Undetermined,1,23/03/2026
S1257 ,Mouse60,HET,Thymus,Tnfa,,3,03-01-2026
S0673,M-33,Het,spleen,IL2,23.78,1,17.03.2026
S1139,Mouse55,KO ,spleen,Ifng,22.41,2,29/03/2026
s1247,Mouse60,HET,Thymus,Foxp3,26.12,2,01/03/2026
S0758,Mouse 37,Het,Spleen,Il2,Undetermined,2,03.03.2026
S1270,mouse_61,ko,spleen,Cd4,20.6,1,11/03/2026
S1409,Mouse68,Het,thymus,Il2,24.18,2,2026.04.20
s0778,Mouse 38,KO,Thymus,Il2,27.52,1,18.04.2026
S_325,Mouse16,Het,spleen,Cd4,19.5,1,05.04.2026
s1390,Mouse67,KO,Lymph Node,Ifng,23.08,1,2026.04.06
S0117,Mouse 6,Het,thymus,CD4,20.47,3,2026.03.22
S_1321,mouse_63,KO,spleen,Gapdh,18.72,1,12.04.2026
s1587,Mouse76,KO ,thymus,Cd4,19.71,3,2026.03.17
S1677,Mouse 80,WT,spleen,Tnfa,23.83,3,24.03.2026
S0373,Mouse 18,ko,Spleen,Tnfa,29.16,1,2026.04.19
S1756,Mouse84,KO,Spleen,Cd8a,22.02,1,02/04/2026
S0005,mouse_1,ko,Spleen,Ifng,21.86,2,2026.03.15
S1224,M-59,WT,Thymus,IFNG,21.27,3,2026.03.24
S0508,mouse_25,KO,thymus,Ifng,20.92,1,21.03.2026
S0047 ,Mouse 3,Het,Thymus,Ifng,21.19,2,04.03.2026
s0739,Mouse36,KO,Spleen,Ifng,21.65,1,2026.03.21
S1798,mouse_86,WT,spleen,Cd8a,21.21,1,18.03.2026
S1823,Mouse87,Het,spleen,Tnfa,23.51,2,03-15-2026
S0238 ,Mouse12,WT ,thymus,Foxp3,25.81,1,03/04/2026
S0021,mouse_1,ko,Spleen,Gapdh,17.62,3,2026.03.15
S0411 ,mouse_20,WT,spleen,CD4,20.64,3,2026.03.15
S1731,M-83,KO,Thymus,FOXP3,38.81,3,23.03.2026
S0834,Mouse 40,WT,spleen,Cd8a,20.66,3,11/03/2026
S0631 ,M-31,HET,Spleen,Il2,23.86,1,06.03.2026
S_856,mouse_41,KO ,Spleen,Tnfa,23.13,1,27.03.2026
S_195,M-10,wt,Spleen,Ifng,22.65,3,10.04.2026
S1553,Mouse74,WT,Spleen,Gapdh,18.53,2,2026.04.27
S1267,mouse_61,ko,spleen,Foxp3,29.66,1,11/03/2026
S1428,Mouse68,Het,thymus,Gapdh,18.43,3,20.04.2026
S1632,Mouse78,wt,spleen,Cd8a,20.97,3,21/04/2026
S1051,Mouse51,HET,spleen,Il2,Undetermined,1,29.04.2026
S0103,M-5,KO,Lymph Node,Gapdh,19.13,1,2026.04.09
S1868,Mouse89,WT ,spleen,Gapdh,17.78,2,03-28-2026
S0263,mouse_13,WT,Thymus,Cd4,26.06,2,06.03.2026
S0387,Mouse 19,KO,Lymph Node,Foxp3,29.23,3,11.03.2026
S1767,mouse_85,KO,Thymus,Il2,26.6,3,03/04/2026
S0921,Mouse44,KO,spleen,Tnfa,24.11,3,2026.03.11
S1700,Mouse81,WT,Spleen,Gapdh,18.25,2,20.03.2026
S0180,Mouse 9,KO ,spleen,Cd4,20.44,3,2026.04.18
S0604,mouse_29,wt,spleen,Tnfa,23.28,1,04-28-2026
S0314 ,Mouse 15,WT ,thymus,Gapdh,17.27,2,03-03-2026
S1703,mouse_82,KO,Thymus,Il2,27.62,2,16/03/2026
S1860,Mouse89,WT ,spleen,Cd4,20.25,3,2026.03.28
S1682,Mouse81,WT,Spleen,Il2,23.21,2,2026.03.20
S1880,mouse_90,KO,Thymus,Cd4,19.32,2,05.03.2026
S0464,Mouse 23,ko,spleen,Il2,23.43,2,29.04.2026
S0371,Mouse 18,ko,Spleen,Cd8a,19.85,2,19.04.2026
S0331 ,Mouse16,Het,spleen,Tnfa,22.74,1,2026.04.05
S1114,Mouse 54,KO,thymus,Il2,26.88,1,28.04.2026
S0110,Mouse 6,Het,thymus,Ifng,23.48,2,22.03.2026
S1866,Mouse89,WT ,spleen,Tnfa,22.93,3,28.03.2026
S0864,mouse_42,KO,Thymus,Il2,25.11,3,2026.04.12
S0993,M-48,WT,Lymph Node,Ifng,21.38,3,04-05-2026
S1502,Mouse72,ko,Thymus,CD4,19.82,2,28.03.2026
S0329,Mouse16,Het,spleen,Cd8a,25.93,2,2026.04.05
S1555,mouse_75,Het,Spleen,Il2,23.33,1,10/03/2026
S0595,mouse_29,wt,spleen,FOXP3,29.67,1,2026.04.28
S1189,M-57,WT,Thymus,Cd8a,20.29,1,04-13-2026
S1829,M-88,KO,thymus,Il2,23.43,2,01/04/2026
S0096,M-5,KO,Lymph Node,Cd4,19.86,3,09.04.2026
S0362,Mouse 18,ko,Spleen,IFNG,23.09,2,19/04/2026
S1715,mouse_82,KO,Thymus,CD8A,20.04,2,16/03/2026
S1125,Mouse 54,KO,thymus,Cd4,20.65,3,2026.04.28
S0475,Mouse 23,ko,spleen,Cd8a,21.05,1,2026.04.29
S0147,Mouse 7,WT,Lymph Node,Gapdh,18.78,3,04-10-2026
S1263,mouse_61,ko,spleen,Il2,27.55,3,03-11-2026
S0279,Mouse 14,HET,Thymus,Ifng,21.88,3,31.03.2026
S1563,mouse_75,Het,Spleen,Foxp3,25.74,3,10.03.2026
S1397,Mouse67,KO,Lymph Node,Cd4,19.64,2,04-06-2026
S0432,Mouse 21,WT ,thymus,CD4,19.36,3,10.03.2026
S0957,M-46,KO ,Spleen,CD4,20.47,3,03-21-2026
S0545,Mouse 26,WT ,Lymph Node,Gapdh,18.52,2,05.04.2026
S1822,Mouse87,Het,spleen,Tnfa,23.44,1,2026.03.15
S1063,Mouse51,HET,spleen,Cd8a,20.92,1,2026.04.29
S0416,mouse_20,WT,spleen,Tnfa,23.43,2,2026.03.15
S0398,Mouse 19,KO,Lymph Node,Gapdh,17.55,2,2026.03.11
S0242 ,Mouse12,WT ,thymus,Cd4,20.76,2,03/04/2026
S0559,M-27,WT,spleen,Cd8a,21.14,1,14.04.2026
S1188,M-57,WT,Thymus,Cd4,21.29,3,13.04.2026
S1089,mouse_52,KO,Spleen,TNFA,22.73,3,17.04.2026
S1151,Mouse55,KO ,spleen,Tnfa,21.85,2,29/03/2026
S0424,Mouse 21,WT ,thymus,Ifng,21.0,1,10/03/2026
S0958,M-46,KO ,Spleen,Cd8a,21.26,1,21.03.2026
s0620,Mouse30,Het,Spleen,Cd4,20.04,2,10.03.2026
S0112,Mouse 6,Het,thymus,Foxp3,26.18,1,22/03/2026
S0703,Mouse 34,HET,spleen,Cd4,28.35,1,08/04/2026
S0747,Mouse36,KO,Spleen,Cd4,19.62,3,03-21-2026
S0889,Mouse43,WT,Spleen,Foxp3,Undetermined,1,27/04/2026
S0352,Mouse 17,WT,spleen,TNFA,23.27,1,10/03/2026
S0838,Mouse 40,WT,spleen,GAPDH,18.38,1,2026.03.11
S0557,M-27,WT,spleen,Cd4,20.5,2,14/04/2026
s1805,mouse_86,WT,spleen,GAPDH,18.31,2,18.03.2026
S0354,Mouse 17,WT,spleen,Tnfa,23.59,3,2026.03.10
S1009,Mouse49,Het,thymus,Il2,22.88,1,17.04.2026
S1035,Mouse 50,Het,Thymus,Ifng,31.63,3,15/03/2026
S0420,mouse_20,WT,spleen,Gapdh,18.2,3,2026.03.15
S0439,Mouse 21,WT ,thymus,Gapdh,17.94,1,2026.03.10
S0442,Mouse 22,wt,spleen,Il2,23.28,1,03.03.2026
S0876,mouse_42,KO,Thymus,Cd8a,21.09,3,12/04/2026
S0448,Mouse 22,wt,spleen,Foxp3,25.87,1,2026.03.03
S0264,mouse_13,WT,Thymus,Cd4,20.55,3,06.03.2026
S0102,M-5,KO,Lymph Node,Tnfa,23.24,3,2026.04.09
S0276,Mouse 14,HET,Thymus,Il2,24.35,3,31/03/2026
S1207,mouse_58,Het,thymus,Cd4,20.34,1,19.04.2026
S0250,Mouse12,WT ,thymus,Gapdh,19.12,1,03/04/2026
S0738,Mouse36,KO,Spleen,Il2,27.92,3,21.03.2026
S1287,Mouse62,Het,Lymph Node,Ifng,21.63,3,04/03/2026
S1201,mouse_58,Het,thymus,Ifng,21.95,1,19/04/2026
S0748,Mouse36,KO,Spleen,Cd8a,22.09,1,21.03.2026
S0928,mouse_45,ko,thymus,IFNG,22.21,1,2026.03.15
S1346,mouse_65,WT,spleen,Il2,24.12,2,03-14-2026
S0342,Mouse 17,WT,spleen,Ifng,22.0,3,10/03/2026
S0061,Mouse 3,Het,Thymus,Gapdh,18.49,1,04/03/2026
S1650,mouse_79,WT,thymus,CD4,20.78,3,23/03/2026
S0591,mouse_29,wt,spleen,IL2,,3,28.04.2026
S0282,Mouse 14,HET,Thymus,Foxp3,26.51,3,2026.03.31
S1352,mouse_65,WT,spleen,Foxp3,26.55,2,03-14-2026
S1610,Mouse 77,KO ,Lymph Node,Cd8a,21.77,2,03-14-2026
S0692,M-33,Het,spleen,GAPDH,19.02,2,17/03/2026
S1369,M-66,KO,thymus,Ifng,21.41,1,01.04.2026
S0877,mouse_42,KO,Thymus,Tnfa,23.72,1,12.04.2026
S1288,Mouse62,Het,Lymph Node,Foxp3,25.89,1,03-04-2026
s0624,Mouse30,Het,Spleen,Cd8a,22.0,3,2026.03.10
S1811,Mouse87,Het,spleen,Ifng,22.12,2,03-15-2026
S_1611,Mouse 77,KO ,Lymph Node,CD8A,26.83,3,03-14-2026
S0029,Mouse 2,WT,Spleen,Foxp3,26.17,2,02/04/2026
S0796,Mouse 38,KO,Thymus,Gapdh,18.53,1,18.04.2026
S1696,Mouse81,WT,Spleen,Tnfa,22.96,1,03-20-2026
S0225,M-11,KO,Lymph Node,Cd8a,22.43,3,17/04/2026
S1122,Mouse 54,KO,thymus,Foxp3,29.14,3,2026.04.28
S_743,Mouse36,KO,Spleen,Foxp3,30.19,2,21.03.2026
S_899,Mouse43,WT,Spleen,Tnfa,23.64,2,04-27-2026
S0547,M-27,WT,spleen,Il2,24.72,1,04-14-2026
S1565,mouse_75,Het,Spleen,Cd4,20.38,2,10.03.2026
S0390,Mouse 19,KO,Lymph Node,Cd4,19.91,3,2026.03.11
S0480,Mouse 23,ko,spleen,Tnfa,22.89,3,04-29-2026
S1477,mouse_71,KO,spleen,FOXP3,30.11,1,03-09-2026
S0471,Mouse 23,ko,spleen,Foxp3,Undetermined,3,29/04/2026
s1318,mouse_63,KO,spleen,Tnfa,23.59,1,12.04.2026
S0099,M-5,KO,Lymph Node,Cd8a,20.79,3,2026.04.09
S0413 ,mouse_20,WT,spleen,Cd8a,20.29,2,15.03.2026
S0906,Mouse44,KO,spleen,Il2,24.23,3,11/03/2026
S0717,M-35,KO,Lymph Node,Il2,26.9,3,30.03.2026
S1404,Mouse67,KO,Lymph Node,Tnfa,22.8,3,06/04/2026
S0013,mouse_1,ko,Spleen,Cd8a,19.43,1,15/03/2026
s0341,Mouse 17,WT,spleen,Ifng,21.82,2,10/03/2026
S1328,Mouse 64,WT,Lymph Node,Ifng,21.99,2,2026.04.07
S0168 ,mouse_8,WT,thymus,Gapdh,17.86,3,08.04.2026
S1023,Mouse49,Het,thymus,Cd8a,21.24,3,17.04.2026
S1516,Mouse73,WT,Lymph Node,Ifng,22.24,1,14/04/2026
S0189,Mouse 9,KO ,spleen,Gapdh,17.47,3,18.04.2026
S1420,Mouse68,Het,thymus,Cd8a,21.02,1,04-20-2026
S0044 ,Mouse 3,Het,Thymus,IL2,23.05,2,03-04-2026
S1050,Mouse 50,Het,Thymus,Gapdh,18.31,3,15/03/2026
s0010,mouse_1,ko,Spleen,Cd4,20.33,1,2026.03.15
S1359 ,mouse_65,WT,spleen,Cd8a,20.29,3,14/03/2026
S0148,mouse_8,WT,thymus,Il2,23.48,1,2026.04.08
S1735,M-83,KO,Thymus,Cd8a,19.38,1,03-23-2026
S0014,mouse_1,ko,Spleen,Cd8a,21.57,2,03-15-2026
S1583,Mouse76,KO ,thymus,Foxp3,37.63,2,17.03.2026
S0431,Mouse 21,WT ,thymus,CD4,19.69,2,10/03/2026
s0872,mouse_42,KO,Thymus,Cd4,20.7,2,12.04.2026
S1173,M-56,WT,thymus,Tnfa,23.03,3,04.04.2026
S0863,mouse_42,KO,Thymus,IL2,24.41,2,12/04/2026
S0869,mouse_42,KO,Thymus,FOXP3,26.49,2,2026.04.12
S0351,Mouse 17,WT,spleen,Cd8a,20.79,3,03-10-2026
S1851,Mouse89,WT ,spleen,IL2,22.99,3,03-28-2026
S0701,Mouse 34,HET,spleen,Foxp3,29.28,2,08.04.2026
S1159,M-56,WT,thymus,Ifng,21.42,1,2026.04.04
S1785,mouse_85,KO,Thymus,Gapdh,Undetermined,3,04-03-2026
S0644,M-31,HET,Spleen,Cd8a,20.67,2,03-06-2026
S1606,Mouse 77,KO ,Lymph Node,Cd4,19.6,1,03-14-2026
S0375,Mouse 18,ko,Spleen,Tnfa,22.21,3,2026.04.19
s1774,mouse_85,KO,Thymus,Cd4,21.64,1,04-03-2026
S1107,Mouse 53,WT,thymus,Cd8a,21.63,3,2026.03.30
S0427,Mouse 21,WT ,thymus,Foxp3,25.22,1,10.03.2026
S1862 ,Mouse89,WT ,spleen,Cd8a,20.99,2,28.03.2026
S1158,M-56,WT,thymus,Il2,23.9,3,04/04/2026
S1387,Mouse67,KO,Lymph Node,IL2,27.15,1,2026.04.06
S1124 ,Mouse 54,KO,thymus,Cd4,19.58,2,04-28-2026
S0116,Mouse 6,Het,thymus,Cd4,20.45,2,22.03.2026
S0025,Mouse 2,WT,Spleen,IFNG,22.07,1,2026.04.02
S0529,Mouse 26,WT ,Lymph Node,Ifng,22.35,1,05/04/2026
S0097,M-5,KO,Lymph Node,Cd8a,20.15,1,09.04.2026
S0888,Mouse43,WT,Spleen,Ifng,23.3,3,04-27-2026
S_955,M-46,KO ,Spleen,Cd4,19.05,1,2026.03.21
S1377,M-66,KO,thymus,Cd4,19.53,3,01.04.2026
S0100,M-5,KO,Lymph Node,Tnfa,22.52,1,09.04.2026
S1607,Mouse 77,KO ,Lymph Node,Cd4,21.12,2,2026.03.14
S1626,Mouse78,wt,spleen,FOXP3,29.62,3,21/04/2026
S0358,Mouse 18,ko,Spleen,IL2,24.24,1,2026.04.19
s1430,Mouse69,WT,Lymph Node,IL2,24.65,2,02.04.2026
S1489,mouse_71,KO,spleen,Gapdh,,1,2026.03.09
S1824,Mouse87,Het,spleen,Tnfa,23.77,3,03-15-2026
S0801,M-39,ko,spleen,Il2,25.38,3,2026.04.25
S0518,mouse_25,KO,thymus,Cd8a,Undetermined,2,03-21-2026
S1701,Mouse81,WT,Spleen,Gapdh,17.74,3,20/03/2026
S0612 ,Mouse30,Het,Spleen,Il2,24.66,3,10/03/2026
s0271,mouse_13,WT,Thymus,GAPDH,18.95,1,06/03/2026
S0952,M-46,KO ,Spleen,Foxp3,Undetermined,1,21/03/2026
S0118,Mouse 6,Het,thymus,CD8A,20.45,1,22/03/2026
S_1877,mouse_90,KO,Thymus,Foxp3,29.44,2,05/03/2026
S1768,mouse_85,KO,Thymus,Ifng,22.46,1,04-03-2026
S1758,Mouse84,KO,Spleen,Cd8a,21.12,3,2026.04.02
